,year,round,circuitId,weather,weather2,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
346,2010,11,10,Mainly cloudy  dry,Mainly cloudy  dry,0,0,1,0,1
347,2010,12,11,Mainly sunny   °C (   °F)  ],Mainly sunny28 °C (82 °F) 1],1,0,0,0,0
348,2010,13,13,Intermittent rain,Intermittent rain,0,0,0,1,0
349,2010,14,14,Sunny,Sunny,1,0,0,0,0
350,2010,15,15,Clear  Air temp    to    °C (   to    °F)  Track temp    °C (   °F)  ]  ],Clear; Air temp 29 to 30 °C (84 to 86 °F)  Track temp 31 °C (88 °F) 2] 3],1,0,0,0,0
351,2010,16,22,Heavy Rain (practice)  Sunny (race),Heavy Rain (practice)  Sunny (race),1,0,0,1,0
352,2010,17,35,Rain  Air    °C (   °F)  Track    °C (   °F),Rain; Air 20 °C (68 °F)  Track 18 °C (64 °F),0,0,0,1,0
353,2010,18,18,Clear     °C (   °F),Clear; 25 °C (77 °F),1,0,0,0,0
354,2010,19,24,Dry  ] Air Temp    °C (   °F)  ] Track Temp    °C (   °F) dropping to    °C (   °F)  ],Dry 1] Air Temp 28 °C (82 °F) 1] Track Temp 33 °C (91 °F) dropping to 29 °C (84 °F) 1],0,0,1,0,0
355,1989,1,36,Very hot  dry  sunny,Very hot  dry  sunny,1,0,1,0,0
356,1989,2,21,Warm  dry  sunny,Warm  dry  sunny,1,0,1,0,0
357,1989,3,6,Warm  dry  sunny,Warm  dry  sunny,1,0,1,0,0
358,1989,4,32,Hot  dry  partly sunny   °C   °F    % Humidity  wind NW-  mph,Hot  dry  partly sunny 25°C/79°F  40% Humidity  wind NW-10mph,1,0,1,0,0
359,1989,5,33,Hot  sunny    C (  F)   ],Hot  sunny  36C (97F)  1],1,0,0,0,0
360,1989,6,7,Cool and rainy with temperatures approaching    °C (   °F)  wind speeds up to      kilometres per hour (     mph)  ],Cool and rainy with temperatures approaching 24 °C (75 °F); wind speeds up to 17 9 kilometres per hour (11 1 mph) 1],0,1,0,1,0
361,1989,7,34,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
362,1989,8,9,Warm  dry  sunny,Warm  dry  sunny,1,0,1,0,0
363,1989,9,10,Warm  cloudy,Warm  cloudy,1,0,0,0,1
364,1989,10,11,Cloudy,Cloudy,0,0,0,0,1
365,1989,11,13,Wet  cloudy  cool,Wet  cloudy  cool,0,1,0,1,1
366,1989,12,14,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
367,1989,13,27,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
368,1989,14,26,Dry  hot  sunny,Dry  hot  sunny,1,0,1,0,0
369,1989,15,22,Dry  warm  cloudy,Dry  warm  cloudy,1,0,1,0,1
370,1989,16,29,Wet  cool,Wet  cool,0,1,0,1,0
371,1988,1,36,Cloudy and hot,Cloudy and hot,1,0,0,0,1
372,1988,2,21,Sunny  warm,Sunny  warm,1,0,0,0,0
373,1988,3,6,Warm and dry,Warm and dry,1,0,1,0,0
374,1988,4,32,Sunny and hot,Sunny and hot,1,0,0,0,0
375,1988,5,7,Sunny and hot with temperatures up to    °C (   °F)  wind speeds up to    kilometres per hour (   mph)  ],Sunny and hot with temperatures up to 29 °C (84 °F); wind speeds up to 19 kilometres per hour (12 mph) 1],1,0,0,0,0
